treatment,tech_company,wellness_program,seek_help,anonymity,leave,phys_health_consequence,coworkers,supervisor,mental_health_interview,mental_vs_physical,obs_consequence,mental_health_consequence
Yes,Yes,No,Yes,Yes,Somewhat easy,No,Some of them,Yes,No,Yes,No,No
No,No,Don't know,Don't know,Don't know,Don't know,No,No,No,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Don't know,No,Yes,Yes,Yes,Don't know,No,No
Yes,No,No,No,Don't know,Somewhat difficult,Yes,Yes,Yes,Maybe,No,Yes,Yes
No,Yes,No,Don't know,Don't know,Don't know,No,Yes,Yes,No,Don't know,No,No
No,Yes,No,No,Don't know,Somewhat easy,No,Yes,Yes,Maybe,Yes,No,No
No,Yes,No,No,Don't know,Don't know,No,Yes,Yes,Yes,Don't know,No,No
No,Yes,No,No,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,No,No
Yes,Yes,No,No,Yes,Very difficult,No,No,Some of them,No,No,No,Yes
No,Yes,Don't know,Don't know,Don't know,Don't know,No,No,Yes,No,Yes,No,No
No,Yes,Don't know,No,Yes,Very easy,No,Yes,Yes,Maybe,Yes,No,No
No,Yes,No,No,Don't know,Very difficult,No,Some of them,Yes,No,Yes,No,No
No,Yes,Yes,Yes,Don't know,Somewhat difficult,Yes,No,No,No,Yes,No,Yes
No,Yes,No,Don't know,Don't know,Very easy,No,Some of them,No,Maybe,Yes,No,Maybe
Yes,Yes,No,No,Don't know,Don't know,No,Some of them,Some of them,No,Yes,No,Maybe
Yes,Yes,No,Yes,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,Yes,Maybe
Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,Maybe,No,No,Maybe
Yes,No,Don't know,Don't know,Don't know,Very difficult,No,No,No,No,No,No,Yes
No,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,No,No,No,Maybe
No,Yes,Don't know,Don't know,Yes,Somewhat easy,No,Some of them,Some of them,No,Yes,No,No
No,Yes,No,No,Don't know,Somewhat difficult,Maybe,No,No,No,No,No,Yes
Yes,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,No,No,Yes,Somewhat difficult,No,Some of them,Yes,No,No,Yes,No
Yes,No,Yes,Yes,Yes,Somewhat easy,No,Some of them,Some of them,No,Yes,No,No
